ID,QnSinV1,QnSinV2,QnSinV3,QnSize,QnWt,QnWtLsCL,ClaustPer,QnSurvCL,ColWtCL,ColWtCL_6,ColGrowthCL_6,QnSurvCL_6,IR,SH,HL,MLH
56,0,0,0,-0.039613297,12.8,0.515625,3,1,7.4,NA,NA,NA,-0.0434402,1.0600,0.06457,0.9333333333333333
57,0,0,0,0.06974859,16,NA,NA,0,NA,NA,NA,NA,-0.0306472,1.0600,0.06674,0.9333333333333333
58,0,0,0,0.067265888,16.2,NA,NA,0,NA,NA,NA,NA, 0.1213062,0.8805,0.21789,0.7857142857142857
59,0,0,0,-0.048651134,13.4,0.47761194,1,1,7.5,NA,NA,NA,-0.0203499,1.0600,0.06535,0.9333333333333333
60,0,0,0,0.051537272,14.5,0.496551724,0,1,9.6,NA,NA,NA, 0.3292470,0.6815,0.39483,0.6
61,0,0,0,0.053422964,14.7,0.530612245,2,1,8.8,NA,NA,NA, 0.2934636,0.7329,0.35976,0.6363636363636364
62,0,0,0,0.013466819,14.8,NA,NA,0,NA,NA,NA,NA,-0.0399973,1.0600,0.06674,0.9333333333333333
63,0,0,0,NA,16,0.475,1,1,12.2,41.7,3.418032787,1,-0.1092745,1.1300,0.00000,1.0
64,0,0,0,0.045110007,16.5,NA,NA,0,NA,NA,NA,NA, 0.1104041,0.8928,0.21095,0.7857142857142857
65,1,1,0,0.017901705,13.1,0.458015267,0,1,10.1,NA,NA,NA,-0.0970447,1.1358,0.00000,1.0
66,0,0,0,0.023591231,15.5,0.561290323,1,1,8.3,NA,NA,NA, 0.0352528,0.9843,0.13210,0.8666666666666667
67,0,0,0,0.052481386,16.9,0.526627219,1,1,12.3,70.1,5.699186992,1,-0.0008022,1.0324,0.08777,0.9090909090909091
68,0,0,0,0.013041252,14.3,0.433566434,3,1,8.9,NA,NA,NA, 0.1171947,0.9086,0.20014,0.8
69,0,0,0,0.042380835,12.3,0.504065041,1,1,8.5,NA,NA,NA,-0.1135105,1.1358,0.00000,1.0
70,0,0,0,-0.018000702,15.3,NA,NA,0,NA,NA,NA,NA,-0.0385321,1.0600,0.06550,0.9333333333333333
71,0,0,0,0.025557111,15.1,0.417218543,2,1,11.2,2.5,0.223214286,1, 0.0932177,0.9146,0.17907,0.8181818181818182
72,0,0,0,0.053195226,15.2,0.486842105,0,1,9.8,NA,NA,NA,-0.0789808,1.1211,0.00000,1.0
73,0,0,0,0.017280854,14.6,0.534246575,2,1,8.7,NA,NA,NA,-0.1076856,1.1385,0.00000,1.0
74,0,0,0,0.039006866,15.7,0.452229299,1,1,12.3,NA,NA,NA,-0.0960249,1.1343,0.00000,1.0
75,0,0,0,0.035306285,15.4,0.454545455,0,1,11.5,NA,NA,NA,-0.0145885,1.0335,0.08097,0.9166666666666666
