Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Heartland,245,543,0.5292,0.0191
Heartland,246,31,0.0302,0.0363
Heartland,250,452,0.4405,0.0282
i-109,145,287,0.2614,0.0244
i-109,147,442,0.4026,0.0088
i-109,149,168,0.1530,-0.0111
i-109,154,201,0.1831,-0.0039
i-113,159,48,0.0455,-0.0030
i-113,161,1,0.0009,-0.0000
i-113,163,397,0.3759,0.0120
i-113,165,159,0.1506,0.0458
i-113,167,42,0.0398,0.0587
i-113,169,409,0.3873,0.0392
i-114,297,1,0.0010,0.0000
i-114,301,541,0.5509,0.0502
i-114,303,140,0.1426,0.0347
i-114,307,153,0.1558,-0.0287
i-114,309,81,0.0825,0.0457
i-114,313,17,0.0173,-0.0166
i-114,317,49,0.0499,-0.0515
i-120_PigTail,314,277,0.2897,0.1014
i-120_PigTail,318,430,0.4498,0.0965
i-120_PigTail,320,82,0.0858,0.0406
i-120_PigTail,324,7,0.0073,-0.0063
i-120_PigTail,326,53,0.0554,0.0223
i-120_PigTail,328,58,0.0607,0.1200
i-120_PigTail,330,48,0.0502,0.0359
i-120_PigTail,332,1,0.0010,0.0000
i-126,206,1,0.0010,-0.0000
i-126,209,233,0.2262,0.0525
i-126,212,1,0.0010,-0.0000
i-126,218,425,0.4126,0.0596
i-126,221,347,0.3369,-0.0116
i-126,224,20,0.0194,0.0831
i-126,230,1,0.0010,-0.0000
i-126,242,2,0.0019,-0.0010
i-127,217,6,0.0059,-0.0049
i-127,220,84,0.0825,0.1186
i-127,222,1,0.0010,0.0000
i-127,223,633,0.6218,0.0110
i-127,226,294,0.2888,-0.0034
i-132,240,405,0.4124,0.0387
i-132,242,184,0.1874,0.0781
i-132,244,393,0.4002,0.1059
i-135,91,782,0.7174,0.0325
i-135,93,304,0.2789,0.0338
i-135,99,4,0.0037,-0.0028
i129,146,142,0.1296,0.0786
i129,150,60,0.0547,-0.0570
i129,154,894,0.8157,0.0541
Imagine,109,1076,0.9711,-0.0288
Imagine,116,32,0.0289,-0.0288
Jackstraw_PigTail,115,1,0.0009,0.0000
Jackstraw_PigTail,117,213,0.1947,0.0623
Jackstraw_PigTail,119,606,0.5539,0.0095
Jackstraw_PigTail,121,1,0.0009,0.0000
Jackstraw_PigTail,127,22,0.0201,-0.0196
Jackstraw_PigTail,129,250,0.2285,-0.0361
Jackstraw_PigTail,133,1,0.0009,0.0000
Jam_session,238,137,0.1315,-0.0664
Jam_session,244,783,0.7514,-0.0729
Jam_session,253,122,0.1171,-0.0388
Jericho,158,380,0.4279,0.0075
Jericho,162,4,0.0045,0.4986
Jericho,176,314,0.3536,0.0059
Jericho,178,101,0.1137,-0.0602
Jericho,180,89,0.1002,-0.0353
Jerry-Garcia,213,132,0.1229,-0.1047
Jerry-Garcia,216,2,0.0019,-0.0009
Jerry-Garcia,219,576,0.5363,0.0574
Jerry-Garcia,223,1,0.0009,0.0000
Jerry-Garcia,224,363,0.3380,0.0813
Jokerman,241,66,0.0807,0.0783
Jokerman,243,154,0.1883,-0.0547
Jokerman,245,395,0.4829,0.0759
Jokerman,247,158,0.1932,0.0756
Jokerman,251,45,0.0550,0.0371
Jude,68,812,0.7450,0.1317
Jude,71,278,0.2550,0.1317
Julia,116,805,0.7681,-0.0330
Julia,119,243,0.2319,-0.0330
Kitty_Pryde,167,774,0.7302,0.0528
Kitty_Pryde,169,268,0.2528,0.0621
Kitty_Pryde,171,18,0.0170,-0.0163
Maggie_mae,81,947,0.9088,0.0165
Maggie_mae,84,3,0.0029,-0.0019
Maggie_mae,88,92,0.0883,0.0233
Majesty,91,309,0.3199,0.0351
Majesty,94,657,0.6801,0.0351
Miles_teg,331,276,0.3286,0.2133
Miles_teg,333,564,0.6714,0.2133
Million_miles,376,238,0.2610,0.0346
Million_miles,378,572,0.6272,0.0069
Million_miles,380,102,0.1118,0.0076
Monkey,107,77,0.0714,-0.0480
Monkey,109,950,0.8813,0.0258
Monkey,118,51,0.0473,0.0336
Mozambique,246,577,0.6125,0.0573
Mozambique,248,272,0.2887,0.0706
Mozambique,254,93,0.0987,-0.0130
Neil_Young,145,96,0.0882,0.0412
Neil_Young,148,512,0.4706,0.1155
Neil_Young,151,480,0.4412,0.0838
Nettie_Moore,258,52,0.0532,0.0261
Nettie_Moore,260,123,0.1258,0.0989
Nettie_Moore,261,201,0.2055,0.0429
Nettie_Moore,264,426,0.4356,0.0361
Nettie_Moore,270,176,0.1800,0.0171
Pam,82,204,0.1841,0.0035
Pam,85,110,0.0993,-0.0286
Pam,88,682,0.6155,-0.0364
Pam,91,112,0.1011,-0.0520
Percy,244,320,0.3828,-0.1025
Percy,246,516,0.6172,-0.1025
Pgm1,101,925,0.8471,0.0749
Pgm1,103,167,0.1529,0.0749
Piggies,160,582,0.5618,0.0756
Piggies,163,454,0.4382,0.0756
Psylocke,325,48,0.0508,0.0353
Psylocke,327,360,0.3814,0.1389
Psylocke,329,350,0.3708,0.1111
Psylocke,331,186,0.1970,0.0771
Queen_jane,255,578,0.5792,0.3185
Queen_jane,257,420,0.4208,0.3185
Ramble,246,123,0.1204,0.0120
Ramble,248,899,0.8796,0.0120
red_ant,79,2,0.0018,-0.0009
red_ant,90,2,0.0018,-0.0009
red_ant,92,254,0.2284,-0.0196
red_ant,95,853,0.7671,-0.0108
red_ant,98,1,0.0009,-0.0000
Sam_Stonev2,159,320,0.4145,-0.0021
Sam_Stonev2,163,184,0.2383,0.1022
Sam_Stonev2,167,268,0.3472,0.0182
Seastones,84,883,0.8237,0.0438
Seastones,91,189,0.1763,0.0438
Sinv-25,155,1,0.0009,0.0000
Sinv-25,157,194,0.1773,-0.0141
Sinv-25,161,899,0.8218,-0.0163
Sinv12,120,1080,0.9765,0.2131
Sinv12,121,4,0.0036,1.0000
Sinv12,122,2,0.0018,1.0000
Sinv12,126,19,0.0172,-0.0166
Sinv12,132,1,0.0009,0.0000
Siona,311,669,0.6677,0.0610
Siona,313,333,0.3323,0.0610
Sol-11,141,383,0.3586,-0.0127
Sol-11,143,83,0.0777,-0.0049
Sol-11,145,130,0.1217,-0.0326
Sol-11,149,308,0.2884,-0.0393
Sol-11,153,164,0.1536,0.0644
Sol-18,230,802,0.7454,-0.0078
Sol-18,232,260,0.2416,-0.0134
Sol-18,234,14,0.0130,0.1325
Sol-20,103,151,0.1370,0.0263
Sol-20,105,578,0.5245,0.0622
Sol-20,107,121,0.1098,0.0632
Sol-20,109,15,0.0136,-0.0129
Sol-20,113,1,0.0009,0.0000
Sol-20,115,2,0.0018,-0.0009
Sol-20,121,4,0.0036,-0.0027
Sol-20,122,1,0.0009,0.0000
Sol-20,123,130,0.1180,-0.0805
Sol-20,125,2,0.0018,-0.0009
Sol-20,127,1,0.0009,0.0000
Sol-20,129,2,0.0018,-0.0009
Sol-20,131,90,0.0817,0.0088
Sol-20,133,4,0.0036,-0.0027
Sol-42f,112,2,0.0018,-0.0009
Sol-42f,114,452,0.4109,-0.0507
Sol-42f,116,242,0.2200,-0.0057
Sol-42f,118,138,0.1255,0.0729
Sol-42f,122,4,0.0036,-0.0027
Sol-42f,126,3,0.0027,-0.0018
Sol-42f,128,204,0.1855,0.0380
Sol-42f,130,3,0.0027,-0.0018
Sol-42f,138,3,0.0027,-0.0018
Sol-42f,140,49,0.0445,-0.0030
Sol-49,137,149,0.1444,0.0048
Sol-49,144,152,0.1473,-0.0329
Sol-49,156,384,0.3721,0.0222
Sol-49,158,148,0.1434,0.0702
Sol-49,162,199,0.1928,0.0609
Sol-6,107,137,0.1243,0.0090
Sol-6,109,1,0.0009,0.0000
Sol-6,111,739,0.6706,-0.0302
Sol-6,113,225,0.2042,0.0124
Sol-J1,248,1,0.0010,0.0000
Sol-J1,253,4,0.0040,1.0000
Sol-J1,254,538,0.5348,0.0021
Sol-J1,256,162,0.1610,0.1033
Sol-J1,258,299,0.2972,0.0730
Sol-J1,260,2,0.0020,-0.0010
Sol-M2,276,334,0.3151,0.0829
Sol-M2,278,519,0.4896,0.0911
Sol-M2,280,87,0.0821,0.0367
Sol-M2,296,119,0.1123,0.0070
Sol-M2,297,1,0.0009,-0.0000
Sol-M3,204,494,0.4643,-0.0042
Sol-M3,206,95,0.0893,0.0416
