Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Heartland,250,428,0.4376,0.0122
i-109,145,276,0.2634,0.0271
i-109,147,419,0.3998,0.0108
i-109,149,161,0.1536,-0.0191
i-109,154,192,0.1832,-0.0065
i-113,159,44,0.0432,0.0033
i-113,161,1,0.0010,0.0000
i-113,163,383,0.3762,0.0006
i-113,165,159,0.1562,0.0544
i-113,167,38,0.0373,0.0715
i-113,169,393,0.3861,0.0353
i-114,297,1,0.0011,-0.0000
i-114,301,530,0.5579,0.0877
i-114,303,135,0.1421,0.0599
i-114,305,1,0.0011,-0.0000
i-114,307,144,0.1516,-0.0303
i-114,309,76,0.0800,0.0285
i-114,313,16,0.0168,-0.0161
i-114,317,47,0.0495,-0.0510
i-120_PigTail,314,264,0.2863,0.1094
i-120_PigTail,318,420,0.4555,0.1090
i-120_PigTail,320,74,0.0803,0.0314
i-120_PigTail,324,7,0.0076,-0.0066
i-120_PigTail,326,53,0.0575,0.0202
i-120_PigTail,328,59,0.0640,0.1500
i-120_PigTail,330,44,0.0477,0.0464
i-120_PigTail,332,1,0.0011,-0.0000
i-126,206,1,0.0010,-0.0000
i-126,209,229,0.2318,0.0404
i-126,212,1,0.0010,-0.0000
i-126,218,406,0.4109,0.0310
i-126,221,330,0.3340,-0.0091
i-126,224,18,0.0182,0.0956
i-126,230,1,0.0010,-0.0000
i-126,242,2,0.0020,-0.0010
i-127,217,5,0.0051,-0.0041
i-127,220,77,0.0784,0.0850
i-127,223,620,0.6314,0.0209
i-127,226,280,0.2851,0.0118
i-132,240,385,0.4044,0.0373
i-132,242,183,0.1922,0.0878
i-132,244,384,0.4034,0.1106
i-135,91,754,0.7195,0.0365
i-135,93,290,0.2767,0.0379
i-135,99,4,0.0038,-0.0029
i129,146,134,0.1279,0.0939
i129,150,59,0.0563,-0.0587
i129,154,855,0.8158,0.0674
Imagine,109,1029,0.9726,-0.0272
Imagine,116,29,0.0274,-0.0272
Jackstraw_PigTail,115,1,0.0010,0.0000
Jackstraw_PigTail,117,197,0.1891,0.0432
Jackstraw_PigTail,119,570,0.5470,0.0327
Jackstraw_PigTail,121,1,0.0010,0.0000
Jackstraw_PigTail,127,21,0.0202,-0.0196
Jackstraw_PigTail,129,251,0.2409,-0.0435
Jackstraw_PigTail,133,1,0.0010,0.0000
Jam_session,238,133,0.1338,-0.0667
Jam_session,244,743,0.7475,-0.0597
Jam_session,253,118,0.1187,-0.0375
Jericho,158,351,0.4229,-0.0009
Jericho,162,4,0.0048,0.4985
Jericho,176,297,0.3578,0.0207
Jericho,178,96,0.1157,-0.0825
Jericho,180,82,0.0988,-0.0543
Jerry-Garcia,213,119,0.1162,-0.0735
Jerry-Garcia,216,2,0.0020,-0.0010
Jerry-Garcia,219,549,0.5361,0.0625
Jerry-Garcia,223,1,0.0010,0.0000
Jerry-Garcia,224,353,0.3447,0.0715
Jokerman,241,62,0.0801,0.0895
Jokerman,243,146,0.1886,-0.0792
Jokerman,245,376,0.4858,0.0496
Jokerman,247,146,0.1886,0.1065
Jokerman,251,44,0.0568,0.0374
Jude,68,774,0.7428,0.1269
Jude,71,268,0.2572,0.1269
Julia,116,768,0.7695,-0.0273
Julia,119,230,0.2305,-0.0273
Kitty_Pryde,167,743,0.7299,0.0294
Kitty_Pryde,169,258,0.2534,0.0353
Kitty_Pryde,171,17,0.0167,-0.0160
